ENTRY            11460   19820813                             00001146000000001 
SUBENT        11460001   19820813                             00001146000100001 
BIB                  5          6                                 1146000100002 
INSTITUTE  (1USAANL)                                              1146000100003 
REFERENCE  (W,HIBDON,6908) TABULATED DATA.                        1146000100004 
AUTHOR     (C.T.HIBDON)                                           1146000100005 
STATUS     (SCSRS)                                                1146000100006 
HISTORY    (760715T) TRANSLATED FROM SCISRS                       1146000100007 
           (820813A) CONVERTED TO REACTION FORMALISM              1146000100008 
ENDBIB               6          0                                 1146000100009 
NOCOMMON             0          0                                 1146000100010 
ENDSUBENT            9          0                                 1146000199999 
SUBENT        11460002   19820813                             00001146000200001 
BIB                  2          2                                 1146000200002 
REACTION   (12-MG-0(N,TOT),,SIG)                                  1146000200003 
METHOD     FLAT DETECTION, ZERO DEGREES.                          1146000200004 
ENDBIB               2          0                                 1146000200005 
NOCOMMON             0          0                                 1146000200006 
DATA                 3        421                                 1146000200007 
EN         DATA       DATA-ERR                                    1146000200008 
MEV        B          B                                           1146000200009 
 4.470  -01 4.68   +00 5.     -02                                 1146000700364 
 4.480  -01 4.83   +00 5.     -02                                 1146000700365 
 4.490  -01 4.80   +00 5.     -02                                 1146000700366 
 4.500  -01 4.49   +00 5.     -02                                 1146000700367 
 4.510  -01 4.42   +00 5.     -02                                 1146000700368 
 4.520  -01 4.71   +00 5.     -02                                 1146000700369 
 4.530  -01 4.49   +00 5.     -02                                 1146000700370 
 4.540  -01 4.31   +00 5.     -02                                 1146000700371 
 4.550  -01 4.40   +00 5.     -02                                 1146000700372 
 4.560  -01 4.38   +00 5.     -02                                 1146000700373 
 4.570  -01 4.31   +00 5.     -02                                 1146000700374 
 4.580  -01 4.37   +00 5.     -02                                 1146000700375 
 4.590  -01 4.14   +00 5.     -02                                 1146000700376 
 4.600  -01 4.11   +00 5.     -02                                 1146000700377 
 4.610  -01 4.24   +00 5.     -02                                 1146000700378 
 4.620  -01 4.12   +00 5.     -02                                 1146000700379 
 4.630  -01 4.19   +00 4.     -02                                 1146000700380 
 4.640  -01 4.03   +00 4.     -02                                 1146000700381 
 4.650  -01 4.12   +00 4.     -02                                 1146000700382 
 4.660  -01 4.00   +00 4.     -02                                 1146000700383 
 4.680  -01 3.86   +00 4.     -02                                 1146000700384 
 4.700  -01 3.75   +00 4.     -02                                 1146000700385 
 4.720  -01 3.70   +00 4.     -02                                 1146000700386 
 4.740  -01 3.56   +00 4.     -02                                 1146000700387 
 4.750  -01 3.79   +00 4.     -02                                 1146000700388 
 4.760  -01 4.89   +00 4.     -02                                 1146000700389 
 4.760  -01 3.85   +00 4.     -02                                 1146000700390 
 4.770  -01 4.15   +00 4.     -02                                 1146000700391 
 4.790  -01 4.47   +00 4.     -02                                 1146000700392 
 4.800  -01 4.08   +00 4.     -02                                 1146000700393 
 4.810  -01 3.62   +00 4.     -02                                 1146000700394 
 4.820  -01 3.63   +00 4.     -02                                 1146000700395 
 4.840  -01 3.15   +00 4.     -02                                 1146000700396 
 4.860  -01 2.82   +00 4.     -02                                 1146000700397 
 4.870  -01 2.37   +00 4.     -02                                 1146000700398 
 4.880  -01 2.33   +00 4.     -02                                 1146000700399 
 4.890  -01 3.13   +00 4.     -02                                 1146000700400 
 4.900  -01 4.10   +00 4.     -02                                 1146000700401 
 4.910  -01 4.47   +00 4.     -02                                 1146000700402 
 4.920  -01 4.55   +00 4.     -02                                 1146000700403 
 4.930  -01 4.67   +00 4.     -02                                 1146000700404 
 4.940  -01 4.63   +00 3.     -02                                 1146000700405 
 4.960  -01 4.20   +00 3.     -02                                 1146000700406 
 4.980  -01 3.95   +00 3.     -02                                 1146000700407 
 5.000  -01 3.60   +00 3.     -02                                 1146000700408 
 5.020  -01 3.42   +00 3.     -02                                 1146000700409 
 5.040  -01 3.37   +00 3.     -02                                 1146000700410 
 5.060  -01 3.36   +00 3.     -02                                 1146000700411 
 5.080  -01 3.37   +00 3.     -02                                 1146000700412 
 5.100  -01 3.22   +00 3.     -02                                 1146000700413 
 5.120  -01 3.18   +00 3.     -02                                 1146000700414 
 5.140  -01 2.96   +00 3.     -02                                 1146000700415 
 5.160  -01 3.08   +00 3.     -02                                 1146000700416 
 5.180  -01 3.15   +00 3.     -02                                 1146000700417 
 5.200  -01 3.57   +00 3.     -02                                 1146000700418 
 5.220  -01 3.88   +00 3.     -02                                 1146000700419 
 5.240  -01 4.70   +00 3.     -02                                 1146000700420 
 5.260  -01 5.53   +00 4.     -02                                 1146000700421 
 5.280  -01 6.02   +00 4.     -02                                 1146000700422 
 5.300  -01 5.93   +00 4.     -02                                 1146000700423 
 5.320  -01 5.33   +00 4.     -02                                 1146000700424 
 5.340  -01 4.62   +00 3.     -02                                 1146000700425 
 5.360  -01 4.51   +00 3.     -02                                 1146000700426 
 5.380  -01 4.09   +00 3.     -02                                 1146000700427 
 5.400  -01 3.95   +00 3.     -02                                 1146000700428 
 5.420  -01 3.85   +00 3.     -02                                 1146000700429 
 5.440  -01 3.60   +00 3.     -02                                 1146000700430 
 5.460  -01 3.87   +00 3.     -02                                 1146000700431 
 5.480  -01 3.66   +00 3.     -02                                 1146000700432 
 5.500  -01 3.61   +00 3.     -02                                 1146000700433 
 5.520  -01 3.57   +00 3.     -02                                 1146000700434 
 5.540  -01 3.30   +00 3.     -02                                 1146000700435 
 5.560  -01 3.59   +00 3.     -02                                 1146000700436 
 5.580  -01 3.58   +00 3.     -02                                 1146000700437 
 5.600  -01 3.79   +00 3.     -02                                 1146000700438 
 5.620  -01 4.03   +00 3.     -02                                 1146000700439 
 5.640  -01 4.34   +00 3.     -02                                 1146000700440 
 5.660  -01 4.71   +00 3.     -02                                 1146000700441 
 5.680  -01 4.90   +00 3.     -02                                 1146000700442 
 5.700  -01 5.05   +00 3.     -02                                 1146000700443 
 5.720  -01 5.11   +00 3.     -02                                 1146000700444 
 5.740  -01 4.85   +00 3.     -02                                 1146000700445 
 5.760  -01 4.62   +00 3.     -02                                 1146000700446 
 5.780  -01 4.11   +00 3.     -02                                 1146000700447 
 5.800  -01 3.60   +00 3.     -02                                 1146000700448 
 5.820  -01 3.44   +00 3.     -02                                 1146000700449 
 5.840  -01 2.99   +00 3.     -02                                 1146000700450 
 5.850  -01 3.27   +00 3.     -02                                 1146000700451 
 5.860  -01 3.90   +00 3.     -02                                 1146000700452 
 5.870  -01 4.35   +00 3.     -02                                 1146000700453 
 5.880  -01 4.65   +00 3.     -02                                 1146000700454 
 5.890  -01 4.60   +00 3.     -02                                 1146000700455 
 5.900  -01 4.30   +00 3.     -02                                 1146000700456 
 5.910  -01 3.99   +00 3.     -02                                 1146000700457 
 5.920  -01 3.79   +00 3.     -02                                 1146000700458 
 5.930  -01 3.56   +00 3.     -02                                 1146000700459 
 5.940  -01 3.26   +00 3.     -02                                 1146000700460 
 5.950  -01 3.22   +00 3.     -02                                 1146000700461 
 5.960  -01 3.10   +00 3.     -02                                 1146000700462 
 5.970  -01 3.08   +00 3.     -02                                 1146000700463 
 5.980  -01 3.96   +00 3.     -02                                 1146000700464 
 5.990  -01 4.56   +00 4.     -02                                 1146000700465 
 6.000  -01 4.04   +00 3.     -02                                 1146000700466 
 6.010  -01 3.11   +00 3.     -02                                 1146000700467 
 6.020  -01 2.88   +00 3.     -02                                 1146000700468 
 6.030  -01 2.77   +00 3.     -02                                 1146000700469 
 6.040  -01 2.45   +00 3.     -02                                 1146000700470 
 6.060  -01 2.30   +00 3.     -02                                 1146000700471 
 6.080  -01 2.04   +00 3.     -02                                 1146000700472 
 6.100  -01 2.01   +00 3.     -02                                 1146000700473 
 6.120  -01 2.43   +00 3.     -02                                 1146000700474 
 6.140  -01 3.11   +00 3.     -02                                 1146000700475 
 6.160  -01 3.51   +00 4.     -02                                 1146000700476 
 6.180  -01 3.91   +00 4.     -02                                 1146000700477 
 6.200  -01 3.93   +00 4.     -02                                 1146000700478 
 6.220  -01 4.12   +00 4.     -02                                 1146000700479 
 6.240  -01 4.16   +00 4.     -02                                 1146000700480 
 6.260  -01 3.98   +00 4.     -02                                 1146000700481 
ENDDATA            474          0                                 1146000700482 
ENDSUBENT          481          0                                 1146000799999 
SUBENT        11460008   19820813                             00001146000800001 
BIB                  4          4                                 1146000800002 
REACTION   (13-AL-27(N,TOT),,SIG)                                 1146000800003 
STATUS     (SPSDD)                                                1146000800004 
REFERENCE  (W,HIBDON,6406)                                        1146000800005 
METHOD     FLAT DETECTION                                         1146000800006 
ENDBIB               4          0                                 1146000800007 
NOCOMMON             0          0                                 1146000800008 
NODATA               0          0                                 1146000800009 
ENDSUBENT            8          0                                 1146000899999 
SUBENT        11460009   19820813                             00001146000900001 
BIB                  4          4                                 1146000900002 
REACTION   (13-AL-27(N,TOT),,SIG)                                 1146000900003 
STATUS     (SPSDD)                                                1146000900004 
REFERENCE  (W,HIBDON,6406)                                        1146000900005 
METHOD     SELF DETECTION                                         1146000900006 
ENDBIB               4          0                                 1146000900007 
NOCOMMON             0          0                                 1146000900008 
NODATA               0          0                                 1146000900009 
ENDSUBENT            8          0                                 1146000999999 
ENDENTRY             9          0                                 1146099999999 
